alpha, epsilon, q, q_hat
14.5, 0.2, 0.9637992412770612, 26.623730421051782
14.600000000000001, 0.2, 0.9642541426322068, 26.975269685403923
14.700000000000001, 0.2, 0.9647007401975265, 27.32920592657662
14.8, 0.2, 0.9651392297785533, 27.68553946592922
14.9, 0.2, 0.9655698015891774, 28.04427061581108
15.0, 0.2, 0.9659926404372232, 28.405399679855257
15.100000000000001, 0.2, 0.9664079259030702, 28.76892695326005
15.200000000000001, 0.2, 0.9668158437619454, 29.13486293959852
15.3, 0.2, 0.9672165412080711, 29.503187791954225
15.4, 0.2, 0.9676101943343505, 29.873911696868646
15.5, 0.2, 0.9679969634683704, 30.24703491844184
15.600000000000001, 0.2, 0.9683770045087173, 30.622557713600013
15.700000000000001, 0.2, 0.9687504690674916, 31.00048033232137
15.8, 0.2, 0.969117504607634, 31.380803017854557
15.9, 0.2, 0.9694782545752696, 31.763526006928295
16.0, 0.2, 0.9698328585272722, 32.14864952995421
16.1, 0.2, 0.9701814522542418, 32.536173811223016
16.2, 0.2, 0.970524167899073, 32.926099069093
16.3, 0.2, 0.970861134071295, 33.31842551617264
16.400000000000002, 0.2, 0.9711924759573466, 33.713153359496204
16.5, 0.2, 0.9715183154269487, 34.11028280069411
16.6, 0.2, 0.9718387711357265, 34.5098140361567
16.7, 0.2, 0.9721539586242294, 34.91174725719252
16.8, 0.2, 0.9724639904134875, 35.31608265018228
16.900000000000002, 0.2, 0.97276897609724, 35.72282039672568
17.0, 0.2, 0.9730690224309646, 36.13196067378464
17.1, 0.2, 0.9733642334178306, 36.54350365382104
17.2, 0.2, 0.9736547103916954, 36.957449504930736
17.3, 0.2, 0.9739405520972539, 37.37379839097147
17.400000000000002, 0.2, 0.9742218547674554, 37.792550471688365
17.5, 0.2, 0.9744987121982873, 38.21370590283831
17.6, 0.2, 0.9747712158210154, 38.63726483628944
17.7, 0.2, 0.9750394547720121, 39.063227420157375
17.8, 0.2, 0.9753035159602154, 39.491593798900894
17.900000000000002, 0.2, 0.9755634841323388, 39.92236411342834
18.0, 0.2, 0.9758194478727973, 40.35554865494641
18.1, 0.2, 0.9760714759264161, 40.79112748136253
18.2, 0.2, 0.9763196528501263, 41.22911064905298
18.3, 0.2, 0.9765640553515814, 41.669498285723115
18.400000000000002, 0.2, 0.9768047582712234, 42.11229051600584
18.5, 0.2, 0.9770418346356001, 42.557487461548384
18.6, 0.2, 0.9772753557089459, 43.00508924109602
18.7, 0.2, 0.9775053910430886, 43.455095970572856
18.8, 0.2, 0.9777320085257473, 43.90750776316075
18.900000000000002, 0.2, 0.9779552744272727, 44.36232472937442
19.0, 0.2, 0.9781752534458928, 44.81954697713608
19.1, 0.2, 0.9783920087515122, 45.27917461184574
19.200000000000003, 0.2, 0.978605602028119, 45.74120773645111
19.3, 0.2, 0.9788160935148482, 46.20564645151343
19.400000000000002, 0.2, 0.9790235420457503, 46.67249085527343
19.5, 0.2, 0.9792280050883081, 47.14174104371327
19.6, 0.2, 0.9794295387807492, 47.61339711061789
19.700000000000003, 0.2, 0.9796281979681931, 48.08745914763375
19.8, 0.2, 0.9798240362376757, 48.563927244325974
19.900000000000002, 0.2, 0.9800171059520896, 49.042801488234275
20.0, 0.2, 0.9802074582830778, 49.52408196492615
20.1, 0.2, 0.9803951432429163, 50.007768758049096
20.200000000000003, 0.2, 0.9805802097154221, 50.493861949381916
20.3, 0.2, 0.9807627054859172, 50.98236161888259
20.400000000000002, 0.2, 0.9809426772702835, 51.47326784473654
20.5, 0.2, 0.9811201707431391, 51.966580703403245
20.6, 0.2, 0.9812952305651631, 52.46230026965968
20.700000000000003, 0.2, 0.9814679004096025, 52.96042661664514
20.8, 0.2, 0.9816382229879834, 53.46095981590259
20.900000000000002, 0.2, 0.9818062400750572, 53.963899937420265
21.0, 0.2, 0.9819719925330059, 54.46924704967058
21.1, 0.2, 0.9821355203349305, 54.977001219649345
21.200000000000003, 0.2, 0.9822968625876474, 55.48716251291323
21.3, 0.2, 0.9824560575538153, 55.999730993615486
21.400000000000002, 0.2, 0.9826131426734148, 56.514706724541895
21.5, 0.2, 0.9827681545846011, 57.032089767145294
21.6, 0.2, 0.9829211291439515, 57.551880181578134
21.700000000000003, 0.2, 0.9830721043593454, 58.07408819312234
21.8, 0.2, 0.9832211087537281, 58.598693699274904
21.900000000000002, 0.2, 0.9833681788702024, 59.12570675188408
22.0, 0.2, 0.9835133476300725, 59.655127406219165
22.1, 0.2, 0.9836566472658824, 60.18695571640262
22.200000000000003, 0.2, 0.9837981093384197, 60.72119173543799
22.3, 0.2, 0.9839377647532371, 61.2578355152366
22.400000000000002, 0.2, 0.9840756437767091, 61.79688710664496
22.5, 0.2, 0.9842117760516359, 62.33834655946931
22.6, 0.2, 0.9843461906124116, 62.88221392250222
22.700000000000003, 0.2, 0.9844789158997674, 63.428489243545584
22.8, 0.2, 0.9846099797752654, 63.977172570105445
22.900000000000002, 0.2, 0.9847394095344396, 64.52826394606208
23.0, 0.2, 0.9848672319219378, 65.08176341839847
23.1, 0.2, 0.9849934731431106, 65.63767103051602
23.200000000000003, 0.2, 0.9851181588776237, 66.1959868256085
23.3, 0.2, 0.9852413142917658, 66.75671084601227
23.400000000000002, 0.2, 0.9853629640505768, 67.31984313322684
23.5, 0.2, 0.9854831323296455, 67.88538372793326
23.6, 0.2, 0.98560184282659, 68.45333267001446
23.700000000000003, 0.2, 0.9857191187722272, 69.02368999857276
23.8, 0.2, 0.9858349829414432, 69.59645575194877
23.900000000000002, 0.2, 0.9859494576637727, 70.17162996773789
24.0, 0.2, 0.9860625648336959, 70.74921268280791
24.1, 0.2, 0.986174325920662, 71.3292039333162
24.200000000000003, 0.2, 0.9862847619788476, 71.91160375472471
24.3, 0.2, 0.9863938936566565, 72.49641218181662
24.400000000000002, 0.2, 0.9865017412059711, 73.08362924871193
24.5, 0.2, 0.9866083244911595, 73.67325498888103
24.6, 0.2, 0.9867136629978488, 74.26528943516104
24.700000000000003, 0.2, 0.9868177758414692, 74.8597326197685
24.8, 0.2, 0.9869206817755766, 75.45658457431428
24.900000000000002, 0.2, 0.9870223991999598, 76.05584532981672
25.0, 0.2, 0.9871229461685391, 76.65751491671399
25.1, 0.2, 0.9872223403970616, 77.26159336487828
25.200000000000003, 0.2, 0.9873205992705993, 77.86808070362719
25.3, 0.2, 0.9874177398508571, 78.47697696173644
25.400000000000002, 0.2, 0.9875137788832933, 79.08828216745148
25.5, 0.2, 0.9876087328040604, 79.701996348499
25.6, 0.2, 0.9877026177467708, 80.3181195320985
25.700000000000003, 0.2, 0.987795449549092, 80.93665174497295
25.8, 0.2, 0.9878872437591757, 81.55759301335917
25.900000000000002, 0.2, 0.9879780156419268, 82.18094336301995
26.0, 0.2, 0.9880677801851157, 82.80670281925171
26.1, 0.2, 0.9881565521053387, 83.43487140689638
26.200000000000003, 0.2, 0.9882443458538315, 84.0654491503499
26.3, 0.2, 0.9883311756221376, 84.69843607357339
26.400000000000002, 0.2, 0.9884170553476388, 85.33383220009999
26.5, 0.2, 0.9885020000436944, 85.97164757350592
26.6, 0.2, 0.9885860205030959, 86.6118623019456
26.700000000000003, 0.2, 0.9886691312601354, 87.25448630269388
26.8, 0.2, 0.9887513452881894, 87.89951959766769
26.900000000000002, 0.2, 0.9888326753321596, 88.546962208396
27.0, 0.2, 0.9889131339132439, 89.19681415603637
27.1, 0.2, 0.9889927333335918, 89.8490754613754
27.200000000000003, 0.2, 0.9890714856808472, 90.50374614483951
27.3, 0.2, 0.9891494028325841, 91.16082622650303
27.400000000000002, 0.2, 0.9892264964606352, 91.82031572609118
27.5, 0.2, 0.989302778035319, 92.482214662993
27.6, 0.2, 0.9893782588295655, 93.14652305626589
27.700000000000003, 0.2, 0.9894529499229457, 93.81324092464111
27.8, 0.2, 0.9895268622056052, 94.48236828653089
27.900000000000002, 0.2, 0.9896000063821055, 95.15390516003552
28.0, 0.2, 0.9896723929751774, 95.82785156294976
28.1, 0.2, 0.9897440323293838, 96.50420751276768
28.200000000000003, 0.2, 0.9898149346146999, 97.18297302669082
28.3, 0.2, 0.9898851098300092, 97.86414812163152
28.400000000000002, 0.2, 0.989954567806519, 98.54773281421937
28.5, 0.2, 0.9900233182110976, 99.23372712080968
28.6, 0.2, 0.9900913705495337, 99.92213105748353
28.700000000000003, 0.2, 0.9901587341697233, 100.61294464005819
28.8, 0.2, 0.9902254182647817, 101.30616788408989
28.900000000000002, 0.2, 0.9902914318760858, 102.00180080487806
29.0, 0.2, 0.9903567838962474, 102.69984341747306
29.1, 0.2, 0.9904214830720189, 103.40029573667833
29.200000000000003, 0.2, 0.990485538007134, 104.10315777705661
29.3, 0.2, 0.9905489571650838, 104.80842955293573
29.400000000000002, 0.2, 0.9906117488718315, 105.51611107840921
29.5, 0.2, 0.9906739213184654, 106.22620236734461
29.6, 0.2, 0.9907354825637948, 106.93870343338735
29.700000000000003, 0.2, 0.9907964405368853, 107.65361428996263
29.8, 0.2, 0.990856803039541, 108.37093495028488
29.900000000000002, 0.2, 0.9909165777487288, 109.09066542734494
30.0, 0.2, 0.9909757722189534, 109.81280573394699
30.1, 0.2, 0.9910343938845758, 110.53735588267973
30.200000000000003, 0.2, 0.9910924500620835, 111.26431588593525
30.3, 0.2, 0.9911499479523113, 111.99368575591095
30.400000000000002, 0.2, 0.9912068946426125, 112.72546550461331
30.5, 0.2, 0.9912632971089845, 113.45965514386118
30.6, 0.2, 0.9913191622181471, 114.1962546852876
30.700000000000003, 0.2, 0.9913744967295762, 114.93526414034619
30.8, 0.2, 0.9914293072974952, 115.67668352031217
30.900000000000002, 0.2, 0.9914836004728216, 116.4205128362862
31.0, 0.2, 0.9915373827050732, 117.16675209919823
31.1, 0.2, 0.991590660344234, 117.91540131980999
31.200000000000003, 0.2, 0.9916434396425794, 118.6664605087196
31.3, 0.2, 0.991695726756463, 119.41992967635908
31.400000000000002, 0.2, 0.9917475277480664, 120.1758088330073
31.5, 0.2, 0.9917988485871113, 120.93409798878169
31.6, 0.2, 0.9918496951525361, 121.69479715365021
31.700000000000003, 0.2, 0.9919000732341365, 122.45790633742747
31.8, 0.2, 0.9919499885341734, 123.2234255497821
31.900000000000002, 0.2, 0.9919994466689459, 123.99135480023646
32.0, 0.2, 0.992048453170332, 124.76169409817226
32.1, 0.2, 0.9920970134872976, 125.53444345282722
32.2, 0.2, 0.9921451329873743, 126.309602873305
32.300000000000004, 0.2, 0.9921928169581067, 127.08717236857407
32.4, 0.2, 0.9922400706084693, 127.86715194746677
32.5, 0.2, 0.9922868990702559, 128.649541618689
32.6, 0.2, 0.992333307399439, 129.43434139081486
32.7, 0.2, 0.9923793005775026, 130.22155127229604
32.800000000000004, 0.2, 0.992424883512747, 131.01117127145852
32.9, 0.2, 0.9924700610415684, 131.80320139650712
33.0, 0.2, 0.9925148379297111, 132.5976416555262
33.1, 0.2, 0.9925592194293035, 133.39450209541585
33.2, 0.2, 0.9926032090553482, 134.1937627388322
33.300000000000004, 0.2, 0.9926468119261955, 134.9954335402452
33.4, 0.2, 0.9926900325370177, 135.79951450728205
33.5, 0.2, 0.9927328753182332, 136.60600564746085
33.6, 0.2, 0.9927753446366164, 137.4149069681941
33.7, 0.2, 0.9928174447963856, 138.22621847678514
33.800000000000004, 0.2, 0.992859180040269, 139.0399401804363
